State,18-,12-17,18-25,26-
Alabama,6.84833467%,10.73843459%,8.23833929%,6.61230305%
Alaska,6.56719375%,9.91567723%,9.19212915%,6.06878767%
Arizona,7.31909211%,13.229368%,8.86159114%,7.05135094%
Arkansas,7.31348903%,11.94965352%,9.52062423%,6.93944581%
California,6.29591055%,11.52641869%,8.79721417%,5.83844677%
Colorado,6.28786538%,11.68243072%,8.37681275%,5.9343425%
Connecticut,6.02939926%,9.70276622%,8.40453223%,5.64930764%
Delaware,6.84529997%,10.44077059%,9.33215917%,6.43288319%
District of Columbia,6.93051242%,8.68971257%,7.87854178%,6.72741354%
Florida,5.81560867%,10.50477313%,7.94851671%,5.50018438%
Georgia,6.68460384%,9.8002978%,8.28269249%,6.4019833%
Hawaii,5.82995264%,9.31543654%,8.55077592%,5.4040471%
Idaho,7.32238656%,11.54877079%,10.5629321%,6.76216801%
Illinois,5.92241833%,10.16918534%,8.54922359%,5.48105818%
Indiana,7.74439263%,12.18595284%,10.61782385%,7.23391425%
Iowa,6.79032378%,10.35270168%,8.98564814%,6.40129351%
Kansas,6.87185732%,11.34097291%,8.20038582%,6.63044443%
Kentucky,6.77279549%,9.3380688%,9.21357062%,6.36712091%
Louisiana,6.14729287%,10.06156062%,7.97374663%,5.82062527%
Maine,8.20629683%,12.04496561%,10.79613794%,7.84738962%
Maryland,6.21774158%,11.33491114%,10.07321512%,5.59244583%
Massachusetts,7.49716971%,11.10541531%,10.48196597%,6.97513634%
Michigan,6.62119875%,10.55418986%,9.39922938%,6.14107575%
Minnesota,7.28407949%,10.9761736%,10.08108413%,6.83119332%
Mississippi,7.07689345%,10.58546164%,8.08524418%,6.892502%
Missouri,6.85651606%,10.77768282%,8.76682551%,6.53477131%
Montana,6.56509233%,10.20910013%,8.63481341%,6.22363308%
Nebraska,7.11485332%,10.97285374%,9.49120597%,6.69242041%
Nevada,6.25877166%,11.64361439%,8.98053245%,5.83074048%
New Hampshire,7.89601249%,11.99799319%,11.78055472%,7.28938228%
New Jersey,6.4727576%,10.22445665%,9.65636248%,5.99279638%
New Mexico,6.24713753%,9.79024116%,8.68563494%,5.82415499%
New York,6.32465951%,10.46184737%,9.197742%,5.82959564%
North Carolina,7.33057777%,11.44428825%,8.9224828%,7.06594539%
North Dakota,6.11466867%,9.6838724%,8.20495887%,5.64892248%
Ohio,7.32838767%,10.3343962%,10.26649696%,6.84670608%
Oklahoma,6.28352727%,10.29139812%,7.75641809%,6.02091379%
Oregon,8.26091324%,14.61854148%,11.51011703%,7.75447628%
Pennsylvania,6.60805259%,10.7324655%,9.69541332%,6.1057471%
Rhode Island,7.68487229%,12.85623112%,9.88739961%,7.2687019%
South Carolina,5.80287515%,9.95345418%,7.30791721%,5.54946801%
South Dakota,5.29335329%,8.94694482%,6.90090738%,5.01112812%
Tennessee,6.97360517%,9.90940056%,8.87436943%,6.66056962%
Texas,6.17148727%,11.24587065%,7.44983318%,5.93306136%
Utah,7.97370574%,12.47314957%,11.80408665%,7.09630207%
Vermont,7.94462929%,11.0082759%,10.00165966%,7.58784601%
Virginia,7.00741662%,12.01838822%,9.49721772%,6.58789156%
Washington,7.24982242%,12.05266556%,11.27146656%,6.59837782%
West Virginia,7.28916077%,10.91801911%,9.5474001%,6.94630277%
Wisconsin,6.75559847%,12.30342203%,9.4276006%,6.31374976%
Wyoming,7.15736759%,11.67820196%,9.18301017%,6.80954931%
