State,Position,Rate
Alabama,24,14.46
Alaska,2,21.97
Arizona,13,18
Arkansas,16,17.25
California,43,10.46
Colorado,7,19.78
Connecticut,47,9.71
Delaware,33,13.2
Florida,28,13.84
Georgia,38,12.65
Hawaii,29,13.64
Idaho,6,20.07
Illinois,44,10.43
Indiana,26,14.25
Iowa,37,12.78
Kansas,21,15.66
Kentucky,19,15.88
Louisiana,25,14.26
Maine,20,15.73
Maryland,46,9.76
Massachusetts,49,8.25
Michigan,32,13.23
Minnesota,41,12.24
Mississippi,40,12.54
Missouri,18,16.31
Montana,1,23.8
Nebraska,30,13.35
Nevada,8,19.47
New Hampshire,14,17.63
New Jersey,48,8.32
New Mexico,3,20.96
New York,50,8.09
North Carolina,35,13.03
North Dakota,15,17.49
Ohio,39,12.57
Oklahoma,9,19.05
Oregon,10,18.65
Pennsylvania,31,13.28
Rhode Island,45,10.01
South Carolina,23,15.13
South Dakota,17,17.03
Tennessee,27,14.11
Texas,42,12.18
Utah,5,20.57
Vermont,11,18.64
Virginia,36,12.86
Washington,22,15.18
West Virginia,12,18.09
Wisconsin,34,13.1
Wyoming,4,20.67
